session,clip,affective,visual,behavioral,overall,class_value,class
20201222_02,84,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,85,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,86,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,87,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,88,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,89,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,90,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,91,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,92,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,93,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,94,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,95,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,96,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,97,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,98,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,99,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,100,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,101,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,102,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,103,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,104,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,105,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,106,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,107,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,108,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,109,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,110,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,111,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,112,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,113,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,114,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,115,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,116,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,117,0.5,0.5,0.75,0.5833,0.5833,7
20201222_02,118,0.5,0.5,0.75,0.5833,0.5833,7
20201222_03,1,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,2,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,3,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,4,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,5,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,6,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,7,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,8,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,9,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,10,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,11,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,12,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,13,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,14,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,15,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,16,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,17,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,18,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,19,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,20,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,21,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,22,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,23,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,24,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,25,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,26,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,27,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,28,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,29,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,30,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,31,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,32,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,33,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,34,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,35,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,36,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,37,1.0,0.75,0.75,0.8333,0.8333,10
20201222_03,38,1.0,0.4062,0.4062,0.6042,0.5833,7
20201222_03,39,1.0,0.25,0.25,0.5,0.5,6
20201222_04,1,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,2,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,3,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,4,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,5,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,6,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,7,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,8,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,9,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,10,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,11,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,12,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,13,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,14,0.5781,0.75,0.75,0.6927,0.6667,8
20201222_04,15,0.75,0.75,0.75,0.75,0.75,9
20201222_04,16,0.75,0.75,0.75,0.75,0.75,9
20201222_04,17,0.75,0.75,0.75,0.75,0.75,9
20201222_04,18,0.75,0.75,0.75,0.75,0.75,9
20201222_04,19,0.75,0.75,0.75,0.75,0.75,9
20201222_04,20,0.75,0.75,0.75,0.75,0.75,9
20201222_04,21,0.75,0.75,0.75,0.75,0.75,9
20201222_04,22,0.75,0.75,0.75,0.75,0.75,9
20201222_04,23,0.75,0.75,0.75,0.75,0.75,9
20201222_04,24,0.75,0.75,0.75,0.75,0.75,9
20201222_04,25,0.75,0.75,0.75,0.75,0.75,9
20201222_04,26,0.75,0.75,0.75,0.75,0.75,9
20201222_04,27,0.6328,0.75,0.75,0.7109,0.75,9
20201222_04,28,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,29,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,30,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,31,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,32,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,33,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,34,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,35,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,36,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,37,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,38,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,39,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,40,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,41,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,42,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,43,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,44,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,45,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,46,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,47,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,48,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,49,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,50,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,51,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,52,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,53,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,54,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,55,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,56,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,57,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,58,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,59,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,60,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,61,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,62,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,63,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,64,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,65,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,66,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,67,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,68,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,69,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,70,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,71,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,72,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,73,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,74,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,75,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,76,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,77,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,78,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,79,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,80,0.5,0.75,0.75,0.6667,0.6667,8
20201222_04,81,0.5703,0.75,0.75,0.6901,0.6667,8
20201222_04,82,0.75,0.75,0.75,0.75,0.75,9
20201222_04,83,0.75,0.4531,0.75,0.651,0.6667,8
20201222_04,84,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,85,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,86,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,87,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,88,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,89,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,90,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,91,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,92,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,93,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,94,0.75,0.25,0.75,0.5833,0.5833,7
20201222_04,95,0.75,0.4453,0.75,0.6484,0.6667,8
20201222_04,96,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,97,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,98,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,99,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,100,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,101,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,102,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,103,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,104,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,105,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,106,0.75,0.5,0.75,0.6667,0.6667,8
20201222_04,107,0.75,0.5,0.75,0.6667,0.6667,8
20201222_05,1,0.5,0.5,0.5,0.5,0.5,6
20201222_05,2,0.5,0.5,0.5,0.5,0.5,6
20201222_05,3,0.5,0.5,0.5,0.5,0.5,6
20201222_05,4,0.5,0.5,0.5,0.5,0.5,6
20201222_05,5,0.5,0.5,0.5,0.5,0.5,6
20201222_05,6,0.5,0.5,0.5,0.5,0.5,6
20201222_05,7,0.5,0.5,0.5,0.5,0.5,6
20201222_05,8,0.5,0.5,0.5,0.5,0.5,6
20201222_05,9,0.5,0.5,0.5,0.5,0.5,6
20201222_05,10,0.5,0.5,0.5,0.5,0.5,6
20201222_05,11,0.5,0.5,0.5,0.5,0.5,6
20201222_05,12,0.5,0.5,0.5,0.5,0.5,6
20201222_05,13,0.5,0.5,0.5,0.5,0.5,6
20201222_05,14,0.5,0.5,0.5,0.5,0.5,6
20201222_05,15,0.5,0.5,0.5,0.5,0.5,6
20201222_05,16,0.5,0.5,0.5,0.5,0.5,6
20201222_05,17,0.5,0.5,0.5,0.5,0.5,6
20201222_05,18,0.5,0.5,0.5,0.5,0.5,6
20201222_05,19,0.5,0.5,0.5,0.5,0.5,6
20201222_05,20,0.5,0.5,0.5,0.5,0.5,6
20201222_05,21,0.5,0.5,0.5,0.5,0.5,6
20201222_05,22,0.5,0.5,0.5,0.5,0.5,6
20201222_05,23,0.5,0.5,0.5,0.5,0.5,6
20201222_05,24,0.5,0.5,0.5,0.5,0.5,6
20201222_05,25,0.5,0.5,0.5,0.5,0.5,6
20201222_05,26,0.5,0.5,0.5,0.5,0.5,6
20201222_05,27,0.5,0.5,0.5,0.5,0.5,6
20201222_05,28,0.5,0.5,0.5,0.5,0.5,6
20201222_05,29,0.5,0.5,0.5,0.5,0.5,6
20201222_05,30,0.5,0.5,0.5,0.5,0.5,6
20201222_05,31,0.5,0.5,0.5,0.5,0.5,6
20201222_05,32,0.5,0.5,0.5,0.5,0.5,6
20201222_05,33,0.5,0.5,0.5,0.5,0.5,6
20201222_05,34,0.5,0.5,0.5,0.5,0.5,6
20201222_05,35,0.5,0.5,0.5,0.5,0.5,6
20201222_05,36,0.5,0.5,0.5,0.5,0.5,6
20201222_05,37,0.5,0.5,0.5,0.5,0.5,6
20201222_05,38,0.5,0.5,0.5,0.5,0.5,6
20201222_05,39,0.5,0.5,0.5,0.5,0.5,6
20201222_05,40,0.3203,0.1406,0.5,0.3203,0.3333,4
20201222_05,41,0.25,0.0,0.5,0.25,0.25,3
20201222_06,1,0.25,0.25,0.5,0.3333,0.3333,4
20201222_06,2,0.25,0.25,0.5,0.3333,0.3333,4
20201222_06,3,0.25,0.25,0.5,0.3333,0.3333,4
20201222_06,4,0.25,0.25,0.5,0.3333,0.3333,4
20201222_06,5,0.25,0.25,0.5,0.3333,0.3333,4
20201222_06,6,0.25,0.25,0.5,0.3333,0.3333,4
20201222_06,7,0.5,0.5,0.5,0.5,0.5,6
20201222_06,8,0.5,0.5,0.5,0.5,0.5,6
20201222_06,9,0.5,0.5,0.5,0.5,0.5,6
20201222_06,10,0.5,0.5,0.5,0.5,0.5,6
20201222_06,11,0.5,0.5,0.5,0.5,0.5,6
20201222_06,12,0.5,0.5,0.5,0.5,0.5,6
20201222_06,13,0.5,0.5,0.5,0.5,0.5,6
20201222_06,14,0.5,0.5,0.5,0.5,0.5,6
20201222_06,15,0.5,0.5,0.5,0.5,0.5,6
20201222_06,16,0.5,0.5,0.5,0.5,0.5,6
20201222_06,17,0.5,0.5,0.5,0.5,0.5,6
20201222_06,18,0.3359,0.5,0.5,0.4453,0.4167,5
20201222_06,19,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,20,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,21,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,22,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,23,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,24,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,25,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,26,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,27,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,28,0.25,0.5,0.5,0.4167,0.4167,5
20201222_06,29,0.25,0.5,0.5,0.4167,0.4167,5
20201222_07,1,0.75,0.75,0.75,0.75,0.75,9
20201222_07,2,0.75,0.75,0.75,0.75,0.75,9
20201222_07,3,0.75,0.75,0.75,0.75,0.75,9
20201222_07,4,0.75,0.75,0.75,0.75,0.75,9
20201222_07,5,0.75,0.75,0.75,0.75,0.75,9
20201222_07,6,0.75,0.75,0.75,0.75,0.75,9
20201222_07,7,0.75,0.75,0.75,0.75,0.75,9
20201222_07,8,0.75,0.75,0.75,0.75,0.75,9
20201222_07,9,0.75,0.75,0.75,0.75,0.75,9
20201222_07,10,0.75,0.75,0.75,0.75,0.75,9
20201222_07,11,0.75,0.75,0.75,0.75,0.75,9
20201222_07,12,0.75,0.75,0.75,0.75,0.75,9
20201222_07,13,0.75,0.75,0.75,0.75,0.75,9
20201222_07,14,0.75,0.75,0.75,0.75,0.75,9
20201222_07,15,0.75,0.75,0.75,0.75,0.75,9
20201222_07,16,0.75,0.75,0.75,0.75,0.75,9
20201222_07,17,0.75,0.75,0.75,0.75,0.75,9
20201222_07,18,0.75,0.75,0.75,0.75,0.75,9
20201222_07,19,0.75,0.75,0.75,0.75,0.75,9
20201222_07,20,0.75,0.75,0.75,0.75,0.75,9
20201222_07,21,0.75,0.75,0.75,0.75,0.75,9
20201222_07,22,0.75,0.75,0.75,0.75,0.75,9
20201222_07,23,0.75,0.75,0.75,0.75,0.75,9
20201222_07,24,0.75,0.75,0.75,0.75,0.75,9
20201222_07,25,0.75,0.75,0.75,0.75,0.75,9
20201222_07,26,0.75,0.75,0.75,0.75,0.75,9
20201222_07,27,0.75,0.75,0.75,0.75,0.75,9
20201222_07,28,0.75,0.75,0.75,0.75,0.75,9
20201222_07,29,0.75,0.75,0.75,0.75,0.75,9
20201222_07,30,0.7266,0.75,0.75,0.7422,0.75,9
20201222_07,31,0.5,0.75,0.75,0.6667,0.6667,8
20201222_07,32,0.5,0.75,0.75,0.6667,0.6667,8
20201222_07,33,0.7812,0.75,0.75,0.7604,0.75,9
20201222_07,34,1.0,0.75,0.75,0.8333,0.8333,10
20201222_07,35,1.0,0.75,0.75,0.8333,0.8333,10
20201222_07,36,0.8125,0.75,0.75,0.7708,0.75,9
20201222_07,37,0.75,0.75,0.75,0.75,0.75,9
20201222_07,38,0.75,0.75,0.75,0.75,0.75,9
20201222_07,39,0.75,0.75,0.75,0.75,0.75,9
20201222_07,40,0.75,0.75,0.75,0.75,0.75,9
20201222_07,41,0.75,0.75,0.75,0.75,0.75,9
20201222_07,42,0.75,0.75,0.75,0.75,0.75,9
20201222_07,43,0.75,0.75,0.75,0.75,0.75,9
20201222_07,44,0.75,0.75,0.75,0.75,0.75,9
20201222_07,45,0.75,0.75,0.75,0.75,0.75,9
20201222_07,46,0.75,0.75,0.75,0.75,0.75,9
20201222_07,47,0.75,0.75,0.75,0.75,0.75,9
20201222_07,48,0.75,0.75,0.75,0.75,0.75,9
20201222_07,49,0.75,0.75,0.75,0.75,0.75,9
20201222_07,50,0.75,0.75,0.75,0.75,0.75,9
20201222_07,51,0.75,0.75,0.75,0.75,0.75,9
20201222_07,52,0.75,0.75,0.75,0.75,0.75,9
20201222_07,53,0.75,0.75,0.75,0.75,0.75,9
20201222_07,54,0.75,0.75,0.75,0.75,0.75,9
20201222_07,55,0.75,0.75,0.75,0.75,0.75,9
20201222_07,56,0.75,0.75,0.75,0.75,0.75,9
20201222_07,57,0.75,0.75,0.75,0.75,0.75,9
20201222_07,58,0.75,0.75,0.75,0.75,0.75,9
20201222_07,59,0.75,0.75,0.75,0.75,0.75,9
20201222_07,60,0.75,0.75,0.75,0.75,0.75,9
20201222_07,61,0.75,0.75,0.75,0.75,0.75,9
20201222_07,62,0.75,0.75,0.75,0.75,0.75,9
20201222_07,63,0.75,0.75,0.75,0.75,0.75,9
20201222_07,64,0.75,0.75,0.75,0.75,0.75,9
20201222_07,65,0.75,0.75,0.75,0.75,0.75,9
20201222_07,66,0.75,0.75,0.75,0.75,0.75,9
20201222_07,67,0.75,0.75,0.75,0.75,0.75,9
20201222_07,68,0.75,0.75,0.75,0.75,0.75,9
20201222_07,69,0.75,0.75,0.75,0.75,0.75,9
20201222_07,70,0.75,0.75,0.75,0.75,0.75,9
20201222_07,71,0.75,0.75,0.75,0.75,0.75,9
20201222_07,72,0.75,0.75,0.75,0.75,0.75,9
20201222_07,73,0.75,0.75,0.75,0.75,0.75,9
20201222_07,74,0.75,0.75,0.75,0.75,0.75,9
20201222_07,75,0.75,0.75,0.75,0.75,0.75,9
20201222_07,76,0.75,0.75,0.75,0.75,0.75,9
20201222_07,77,0.75,0.75,0.75,0.75,0.75,9
20201222_07,78,0.75,0.75,0.75,0.75,0.75,9
20201222_07,79,0.75,0.75,0.75,0.75,0.75,9
20201222_08,1,0.5,0.5,0.5,0.5,0.5,6
